year	benchmark	value	avg
1	1	11.2	9.18
1	2	6.2	9.22
1	3	10	5.13
1	4	5.6	9.42
1	5	11.2	8.92
1	6	11.2	1.84
1	7	0.6	9.13
1	8	8.8	8.91
1	9	5	9.31
1	10	0	0
1	11	3.8	9.35
1	12	5	9.18
1	13	7.5	9.17
1	14	1.2	9.34
1	15	7.5	9.16
1	16	5	8.85
2	1	6	9.21
2	2	8	9.25
2	3	6	5.3
2	4	10	9.44
2	5	10	8.96
2	6	10	1.84
2	7	2	9.17
2	8	10	8.87
2	9	8	9.33
2	10	0	0
2	11	2	9.39
2	12	4	9.26
2	13	4	9.23
2	14	6	9.39
2	15	4	9.22
2	16	10	8.94
3	1	6.1	9.23
3	2	9.5	9.24
3	3	0	5
3	4	8.8	9.44
3	5	8.8	8.98
3	6	10.2	1.84
3	7	4.8	9.18
3	8	7.5	8.92
3	9	5.4	9.34
3	10	6.1	9.3
3	11	0.7	9.4
3	12	6.8	9.25
3	13	2.7	9.24
3	14	6.1	9.4
3	15	7.5	9.19
3	16	8.8	8.94
4	1	6.2	9.27
4	2	8.6	9.26
4	3	0	4.71
4	4	8.6	9.29
4	5	8.6	9.14
4	6	4.9	1.76
4	7	2.5	9.19
4	8	7.4	8.99
4	9	6.2	9.41
4	10	1.2	9.67
4	11	7.4	9.41
4	12	7.4	9.34
4	13	6.2	9.26
4	14	7.4	9.45
4	15	8.6	9.26
4	16	8.6	8.98
5	1	12.5	9.26
5	2	12.5	9.26
5	3	0	4.78
5	4	12.5	9.29
5	5	12.5	9.2
5	6	0	1.76
5	7	0	9.21
5	8	12.5	9.12
5	9	6.2	9.4
5	10	0	9.37
5	11	0	9.46
5	12	12.5	9.26
5	13	6.2	9.26
5	14	12.5	9.5
5	15	0	9.42
5	16	0	9.11
