year	benchmark	value	avg
1	1	13.2	9.01
1	2	5.3	9.04
1	3	0	0
1	4	13.2	9.44
1	5	13.2	8.71
1	6	13.2	1.83
1	7	0	8.74
1	8	5.3	8.82
1	9	0	9.27
1	10	0	0
1	11	0	0
1	12	10.5	8.7
1	13	2.6	9.1
1	14	5.3	9.27
1	15	13.2	9.25
1	16	5.3	8.61
2	1	6	9.08
2	2	8.3	9.16
2	3	0	0
2	4	18.7	9.37
2	5	7.9	8.78
2	6	5.2	1.84
2	7	0	8.83
2	8	10.3	8.8
2	9	4	9.39
2	10	0	0
2	11	0	0
2	12	7.1	9.03
2	13	11.9	9.19
2	14	6.7	9.37
2	15	7.1	9.44
2	16	6.7	9.05
3	1	7.7	9.31
3	2	6.5	9.3
3	3	0	0
3	4	14.6	9.49
3	5	10.9	8.97
3	6	6.9	1.75
3	7	0	9.25
3	8	9.4	8.82
3	9	4.4	9.27
3	10	0	0
3	11	0	0
3	12	8.2	9.17
3	13	6.3	9.27
3	14	12.3	9.39
3	15	4.8	9.38
3	16	8	8.76
4	1	10.6	9.34
4	2	6.4	9.34
4	3	0	0
4	4	7.1	9.21
4	5	7.8	9.13
4	6	13.5	1.81
4	7	0	9.26
4	8	6.4	9.02
4	9	5	9.36
4	10	0	0
4	11	0	0
4	12	17.7	9.25
4	13	4.3	9.35
4	14	5.7	9.44
4	15	6.4	9.51
4	16	9.2	9.01
5	1	0	9.43
5	2	14.3	9.43
5	3	0	0
5	4	0	9.27
5	5	7.1	9.35
5	6	14.3	1.64
5	7	0	9.31
5	8	14.3	9.1
5	9	0	9.52
5	10	0	0
5	11	0	0
5	12	14.3	9.26
5	13	0	9.51
5	14	7.1	9.57
5	15	14.3	9.53
5	16	14.3	9.22
