year	benchmark	value
1	1	4.2
1	2	10.4
1	3	6.9
1	4	4.9
1	5	10.9
1	6	5
1	7	6.1
1	8	6.9
1	9	5.3
1	10	4.6
1	11	7.5
1	12	5.6
1	13	0
1	14	5.2
1	15	4.2
1	16	6.3
1	17	5.6
1	18	0
1	19	0
1	20	0
1	21	0
1	22	0
1	23	0
1	24	0
1	25	0
1	26	0
1	27	0
1	28	0
1	29	0
1	30	0
1	31	0
2	1	3.7
2	2	11.4
2	3	11.4
2	4	3.6
2	5	4.5
2	6	9.9
2	7	4.5
2	8	4.9
2	9	5.5
2	10	3.2
2	11	6.3
2	12	6.3
2	13	3.8
2	14	3.8
2	15	7.7
2	16	3.8
2	17	7.7
2	18	0
2	19	0
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
2	25	0
2	26	0
2	27	0
2	28	0
2	29	0
2	30	0
2	31	0
3	1	5.8
3	2	9.6
3	3	7.7
3	4	1.9
3	5	3.8
3	6	5.8
3	7	7.7
3	8	3.8
3	9	0
3	10	4.3
3	11	4.3
3	12	2.6
3	13	0
3	14	1.7
3	15	4.3
3	16	3.4
3	17	7.8
3	18	0
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
3	25	0
3	26	0
3	27	0
3	28	0
3	29	0
3	30	0
3	31	0
4	1	8.6
4	2	10.3
4	3	6.9
4	4	3.4
4	5	1.7
4	6	1.7
4	7	4.3
4	8	3.4
4	9	0.9
4	10	4.3
4	11	4.3
4	12	2.6
4	13	1.7
4	14	1.7
4	15	4.3
4	16	3.4
4	17	7.8
4	18	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
4	25	0
4	26	0
4	27	0
4	28	0
4	29	0
4	30	0
4	31	0
5	1	9.6
5	2	10.6
5	3	10.6
5	4	5.3
5	5	3.2
5	6	1.1
5	7	8.5
5	8	4.3
5	9	6.4
5	10	6.4
5	11	9.6
5	12	1.1
5	13	2.1
5	14	6.4
5	15	4.3
5	16	4.3
5	17	3.2
5	18	0
5	19	0
5	20	0
5	21	0
5	22	0
5	23	0
5	24	0
5	25	0
5	26	0
5	27	0
5	28	0
5	29	0
5	30	0
5	31	0
6	1	7.1
6	2	7.2
6	3	7.2
6	4	6
6	5	2.5
6	6	0.2
6	7	6
6	8	1.8
6	9	0
6	10	4.8
6	11	6.7
6	12	1
6	13	0.1
6	14	3.6
6	15	3.9
6	16	3.5
6	17	2.6
6	18	3.6
6	19	3.4
6	20	0.1
6	21	0.5
6	22	7.2
6	23	5
6	24	1.6
6	25	0.7
6	26	1.1
6	27	3.1
6	28	0.8
6	29	0.6
6	30	0.8
6	31	5
