year	benchmark	value	avg
1	1	0	
1	2	0	
1	3	0	
1	4	0	
1	5	0	
1	6	0	
1	7	0	
1	8	0	
1	9	0	
1	10	0	
1	11	0	
1	12	0	
1	13	0	
1	14	0	
1	15	0	
1	16	0	
1	17	11.1	
2	1	0	
2	2	11.1	
2	3	11.1	
2	4	0	
2	5	0	
2	6	11.1	
2	7	11.1	
2	8	0	
2	9	0	
2	10	11.1	
2	11	11.1	
2	12	0	
2	13	11.1	
2	14	0	
2	15	11.1	
2	16	0	
2	17	11.1		
3	1	5.6	
3	2	11.1	
3	3	5.6	
3	4	0	
3	5	0	
3	6	11.1	
3	7	11.1	
3	8	0	
3	9	0	
3	10	10	
3	11	10	
3	12	0	
3	13	10	
3	14	0	
3	15	10	
3	16	0	
3	17	10		
4	1	10	
4	2	10	
4	3	10	
4	4	0	
4	5	0	
4	6	10	
4	7	10	
4	8	0	
4	9	0	
4	10	10	
4	11	10	
4	12	0	
4	13	10	
4	14	0	
4	15	10	
4	16	0	
4	17	10		
5	1	10	
5	2	10	
5	3	10	
5	4	0	
5	5	0	
5	6	10	
5	7	10	
5	8	0	
5	9	0	
5	10	10	
5	11	10	
5	12	0	
5	13	10	
5	14	0	
5	15	10	
5	16	0	
5	17	10		
