year	benchmark	value	avg
1	1	7.7	9.12
1	2	7.7	9.10
1	3	0	0.00
1	4	7.7	9.44
1	5	7.7	9.00
1	6	7.7	1.80
1	7	7.7	9.19
1	8	7.7	9.01
1	9	7.7	9.45
1	10	0	0.00
1	11	7.7	9.45
1	12	7.7	9.17
1	13	7.7	9.26
1	14	0	9.31
1	15	7.7	9.06
1	16	7.7	8.57
2	1	7.7	9.16
2	2	7.7	9.06
2	3	0	0.00
2	4	7.7	9.44
2	5	7.7	8.97
2	6	7.7	1.85
2	7	7.7	8.97
2	8	7.7	9.02
2	9	7.7	9.40
2	10	0	0.00
2	11	7.7	9.44
2	12	7.7	9.26
2	13	7.7	9.29
2	14	0	9.36
2	15	7.7	9.24
2	16	7.7	8.52
3	1	9.1	9.19
3	2	9.1	9.11
3	3	0	0.00
3	4	9.1	9.38
3	5	9.1	8.95
3	6	9.1	1.82
3	7	9.1	9.03
3	8	9.1	8.92
3	9	0	9.41
3	10	0	0.00
3	11	9.1	9.40
3	12	9.1	9.28
3	13	9.1	9.27
3	14	0	9.38
3	15	9.1	9.24
3	16	0	8.46
4	1	7.1	9.26
4	2	7.1	9.19
4	3	0	0.00
4	4	7.1	9.26
4	5	7.1	9.09
4	6	7.1	1.83
4	7	7.1	9.11
4	8	7.1	9.05
4	9	7.1	9.50
4	10	0	0.00
4	11	7.1	9.43
4	12	7.1	9.45
4	13	7.1	9.36
4	14	7.1	9.42
4	15	7.1	9.23
4	16	7.1	8.59
5	1	8.3	9.29
5	2	8.3	9.33
5	3	0	0.00
5	4	8.3	9.27
5	5	8.3	9.25
5	6	0	0.00
5	7	8.3	9.15
5	8	8.3	9.20
5	9	8.3	9.56
5	10	0	0.00
5	11	8.3	9.61
5	12	0	0.00
5	13	8.3	9.45
5	14	8.3	9.50
5	15	8.3	9.46
5	16	8.3	8.86
