year	benchmark	value	avg
1	1	9.5	9.18
1	2	9.5	9.22
1	3	4.8	5.13
1	4	9.5	9.42
1	5	9.5	8.92
1	6	9.5	1.84
1	7	9.5	9.13
1	8	9.5	8.91
1	9	9.5	9.31
1	10	0	0
1	11	0	9.35
1	12	4.8	9.18
1	13	9.5	9.17
1	14	0	9.34
1	15	0	9.16
1	16	0	8.85
2	1	10	9.21
2	2	10	9.25
2	3	0	5.3
2	4	10	9.44
2	5	10	8.96
2	6	10	1.84
2	7	10	9.17
2	8	10	8.87
2	9	10	9.33
2	10	0	0
2	11	0	9.39
2	12	10	9.26
2	13	10	9.23
2	14	0	9.39
2	15	0	9.22
2	16	0	8.94
3	1	4.1	9.23
3	2	10.2	9.24
3	3	8.2	5
3	4	10.2	9.44
3	5	10.2	8.98
3	6	10.2	1.84
3	7	8.2	9.18
3	8	10.2	8.92
3	9	6.1	9.34
3	10	0	9.3
3	11	0	9.4
3	12	6.1	9.25
3	13	8.2	9.24
3	14	0	9.4
3	15	0	9.19
3	16	0	8.94
4	1	8.3	9.27
4	2	8.3	9.26
4	3	8.3	4.71
4	4	8.3	9.29
4	5	8.3	9.14
4	6	8.3	1.76
4	7	8.3	9.19
4	8	8.3	8.99
4	9	8.3	9.41
4	10	0	9.67
4	11	0	9.41
4	12	8.3	9.34
4	13	8.3	9.26
4	14	0	9.45
4	15	0	9.26
4	16	0	8.98
5	1	9.4	9.26
5	2	9.4	9.26
5	3	3.1	4.78
5	4	9.4	9.29
5	5	9.4	9.2
5	6	9.4	1.76
5	7	0	9.21
5	8	9.4	9.12
5	9	9.4	9.4
5	10	0	9.37
5	11	0	9.46
5	12	6.2	9.26
5	13	9.4	9.26
5	14	0	9.5
5	15	3.1	9.42
5	16	0	9.11
