year	benchmark	value	avg
1	1	20	9.4
1	2	0	9.53
1	3	0	0
1	4	20	9.57
1	5	20	9.09
1	6	0	1.79
1	7	20	9.48
1	8	10	8.92
1	9	0	9.44
1	10	0	0
1	11	0	0
1	12	10	9.39
1	13	0	9.32
1	14	0	9.46
1	15	0	9.21
1	16	0	9.15
2	1	5	9.51
2	2	0	9.57
2	3	0	0
2	4	15	9.4
2	5	15	9.12
2	6	15	1.68
2	7	5	9.41
2	8	5	8.8
2	9	10	9.44
2	10	0	0
2	11	0	0
2	12	15	9.5
2	13	15	9.44
2	14	0	9.69
2	15	0	9.23
2	16	0	9.38
3	1	0	9.18
3	2	9.5	9.36
3	3	0	0
3	4	14.3	9.36
3	5	9.5	8.92
3	6	14.3	1.81
3	7	4.8	9.29
3	8	14.3	8.9
3	9	4.8	9.33
3	10	0	0
3	11	0	0
3	12	14.3	9.25
3	13	14.3	9.17
3	14	0	9.45
3	15	0	9.15
3	16	0	9.14
4	1	10	9.3
4	2	10	9.47
4	3	0	0
4	4	10	9.24
4	5	10	9.23
4	6	10	1.5
4	7	10	9.3
4	8	10	9.13
4	9	10	9.43
4	10	0	0
4	11	0	9.49
4	12	10	9.33
4	13	10	9.38
4	14	0	9.54
4	15	0	9.33
4	16	0	9.13
5	1	14.3	9.39
5	2	14.3	9.59
5	3	0	0
5	4	14.3	9.28
5	5	14.3	9.29
5	6	0	0
5	7	14.3	9.48
5	8	14.3	9.24
5	9	0	9.47
5	10	0	0
5	11	0	9.57
5	12	0	0
5	13	14.3	9.45
5	14	0	9.62
5	15	0	9.53
5	16	0	9.35
