year	row	col	value
2011	1	1	75.5
2011	1	2	5.7
2011	1	3	1.1
2011	2	1	6.1
2011	2	2	6.6
2011	2	3	1.1
2011	3	1	0.9
2011	3	2	0.9
2011	3	3	2.2
2012	1	1	79.7
2012	1	2	5.2
2012	1	3	0.8
2012	2	1	6.5
2012	2	2	6.8
2012	2	3	1.0
2012	3	1	0.9
2012	3	2	1.0
2012	3	3	2.6
2013	1	1	76.6
2013	1	2	5.5
2013	1	3	0.5
2013	2	1	5.7
2013	2	2	6.9
2013	2	3	1.1
2013	3	1	0.7
2013	3	2	0.9
2013	3	3	2.0
2014	1	1	62.4
2014	1	2	9.4
2014	1	3	0.9
2014	2	1	7.9
2014	2	2	12.2
2014	2	3	1.5
2014	3	1	0.9
2014	3	2	1.4
2014	3	3	3.5
2015	1	1	55.3
2015	1	2	10.1
2015	1	3	1.2
2015	2	1	9.2
2015	2	2	15.0
2015	2	3	2.5
2015	3	1	1.0
2015	3	2	1.9
2015	3	3	3.8
