year	row	col	value
2011	1	1	83.2
2011	1	2	2.9
2011	1	3	2.9
2011	2	1	5.3
2011	2	2	2.7
2011	2	3	0.8
2011	3	1	0.8
2011	3	2	0.8
2011	3	3	0.9
2012	1	1	84.0
2012	1	2	2.9
2012	1	3	1.1
2012	2	1	5.6
2012	2	2	3.4
2012	2	3	0.0
2012	3	1	0.9
2012	3	2	0.9
2012	3	3	1.3
2013	1	1	89.1
2013	1	2	2.3
2013	1	3	0.5
2013	2	1	3.5
2013	2	2	2.7
2013	2	3	0.5
2013	3	1	1.0
2013	3	2	0.3
2013	3	3	0.0
2014	1	1	74.8
2014	1	2	6.2
2014	1	3	0.5
2014	2	1	6.0
2014	2	2	8.1
2014	2	3	1.3
2014	3	1	1.1
2014	3	2	1.0
2014	3	3	1.0
2015	1	1	72.7
2015	1	2	4.8
2015	1	3	0.2
2015	2	1	7.6
2015	2	2	10.4
2015	2	3	1.0
2015	3	1	0.8
2015	3	2	0.8
2015	3	3	1.8
