id,size,actions,impact,feasibility,attractiveness,positive,negative
00,2,Service Completed Successfully,2.2522522522522523,5,11.26126126126126,"Rabbi said that everything went well and they gave them a rental (cheap) when their machine was getting fixed.  (15257649)<BR/>He stated they fixed it very quick.  (14171295)<BR/>Angelo said they have good qualified people, they get to the bottom of the problem, and fix it correctly.  (14005313)<BR/>Jeremy stated the job was completed on time.  (13767897)<BR/>Andre said that what was done well on this experience was that XXX Company came to see him.  (13436960)<BR/>Ryan said they did a complete rebuild on their engine and you know that they will do it correctly.  (13666903)<BR/>Drew stated that what was done well on this experience is that they showed up.  (13581571)<BR/>He said he felt the job was well done.  (13653363)<BR/>Pat said that they showed up right away, figured out what the problem was and fixed it the next day.  (14573797)<BR/>Steve stated the technician showed up in a timely manner and the repair was completed in a timely manner.  (15086145)<BR/>James stated that they do their jobs properly.  (14792443)<BR/>Marcel stated the service was done well.  (13667230)<BR/>","",
00,2,Proactive Communication,2.2522522522522523,5,11.26126126126126,"Adam said that they communicated well during this service.  (14404236)<BR/>He stated communication and workmanship was good.  (13951607)<BR/>Steve said they looked after them, they communicated well and they explained everything to him.  (14171181)<BR/>He stated good feeebcack.  He stated good  communication.  (14005246)<BR/>Neil stated they did good work, good communication and cleaned up the truck afterwards.  (13951780)<BR/>He stated they got it in and repaired it right away. He stated they were very prompt and communication was good.  (13848960)<BR/>","He stated that they provided good service but should have provided better communication.  (15131245)<BR/>",
01,3,Service Completed Successfully,2.2522522522522523,5,11.26126126126126,"Rabbi said that everything went well and they gave them a rental (cheap) when their machine was getting fixed.  (15257649)<BR/>He stated they fixed it very quick.  (14171295)<BR/>Angelo said they have good qualified people, they get to the bottom of the problem, and fix it correctly.  (14005313)<BR/>Jeremy stated the job was completed on time.  (13767897)<BR/>Andre said that what was done well on this experience was that XXX Company came to see him.  (13436960)<BR/>Ryan said they did a complete rebuild on their engine and you know that they will do it correctly.  (13666903)<BR/>Drew stated that what was done well on this experience is that they showed up.  (13581571)<BR/>He said he felt the job was well done.  (13653363)<BR/>Pat said that they showed up right away, figured out what the problem was and fixed it the next day.  (14573797)<BR/>Steve stated the technician showed up in a timely manner and the repair was completed in a timely manner.  (15086145)<BR/>James stated that they do their jobs properly.  (14792443)<BR/>Marcel stated the service was done well.  (13667230)<BR/>","",
01,3,Proactive Communication,2.2522522522522523,5,11.26126126126126,"Adam said that they communicated well during this service.  (14404236)<BR/>He stated communication and workmanship was good.  (13951607)<BR/>Steve said they looked after them, they communicated well and they explained everything to him.  (14171181)<BR/>He stated good feeebcack.  He stated good  communication.  (14005246)<BR/>Neil stated they did good work, good communication and cleaned up the truck afterwards.  (13951780)<BR/>He stated they got it in and repaired it right away. He stated they were very prompt and communication was good.  (13848960)<BR/>","He stated that they provided good service but should have provided better communication.  (15131245)<BR/>",
01,3,Technician Knowledge and Expertise,2.2522522522522523,5,11.26126126126126,"He said they were easy to get in touch with and had an available, knowledgeable technician.  (13548296)<BR/>Mark stated the technician is always professional and informative.  (13849002)<BR/>Mr. Haryett stated they are very reliable, and the field technicians are very knowledgeable.  (15096362)<BR/>Matt said the technicians are very professional and very knowledgeable.  (14126704)<BR/>","",
02,3,Service Completed Successfully,2.2522522522522523,5,11.26126126126126,"Rabbi said that everything went well and they gave them a rental (cheap) when their machine was getting fixed.  (15257649)<BR/>He stated they fixed it very quick.  (14171295)<BR/>Angelo said they have good qualified people, they get to the bottom of the problem, and fix it correctly.  (14005313)<BR/>Jeremy stated the job was completed on time.  (13767897)<BR/>Andre said that what was done well on this experience was that XXX Company came to see him.  (13436960)<BR/>Ryan said they did a complete rebuild on their engine and you know that they will do it correctly.  (13666903)<BR/>Drew stated that what was done well on this experience is that they showed up.  (13581571)<BR/>He said he felt the job was well done.  (13653363)<BR/>Pat said that they showed up right away, figured out what the problem was and fixed it the next day.  (14573797)<BR/>Steve stated the technician showed up in a timely manner and the repair was completed in a timely manner.  (15086145)<BR/>James stated that they do their jobs properly.  (14792443)<BR/>Marcel stated the service was done well.  (13667230)<BR/>","",
02,3,Proactive Communication,2.2522522522522523,5,11.26126126126126,"Adam said that they communicated well during this service.  (14404236)<BR/>He stated communication and workmanship was good.  (13951607)<BR/>Steve said they looked after them, they communicated well and they explained everything to him.  (14171181)<BR/>He stated good feeebcack.  He stated good  communication.  (14005246)<BR/>Neil stated they did good work, good communication and cleaned up the truck afterwards.  (13951780)<BR/>He stated they got it in and repaired it right away. He stated they were very prompt and communication was good.  (13848960)<BR/>","He stated that they provided good service but should have provided better communication.  (15131245)<BR/>",
02,3,Price Competitiveness,2.2522522522522523,5,11.26126126126126,"John said they are very knowledgeable on what he needs to be done and the price is fair.  (14415537)<BR/>Darcy stated the technician was on time, pricing was good, and they repaired it quickly.  (14404324)<BR/>He stated the service is good.  He stated pricing is reasonable.  (14903687)<BR/>He said he felt they took care of him. He said they worked with his schedule and the price was fair.  (14415429)<BR/>Albert stated XXX Company gave him a good price.  (13764171)<BR/>","Randy stated the pricing is high and it is difficult getting in touch with the right person.  (13951810)<BR/>",
03,3,Service Completed Successfully,0.7722007722007722,5,3.8610038610038613,"Rabbi said that everything went well and they gave them a rental (cheap) when their machine was getting fixed.  (15257649)<BR/>He stated they fixed it very quick.  (14171295)<BR/>Angelo said they have good qualified people, they get to the bottom of the problem, and fix it correctly.  (14005313)<BR/>Jeremy stated the job was completed on time.  (13767897)<BR/>Andre said that what was done well on this experience was that XXX Company came to see him.  (13436960)<BR/>Ryan said they did a complete rebuild on their engine and you know that they will do it correctly.  (13666903)<BR/>Drew stated that what was done well on this experience is that they showed up.  (13581571)<BR/>He said he felt the job was well done.  (13653363)<BR/>Pat said that they showed up right away, figured out what the problem was and fixed it the next day.  (14573797)<BR/>Steve stated the technician showed up in a timely manner and the repair was completed in a timely manner.  (15086145)<BR/>James stated that they do their jobs properly.  (14792443)<BR/>Marcel stated the service was done well.  (13667230)<BR/>","",
03,3,Technician Knowledge and Expertise,0.7722007722007722,5,3.8610038610038613,"He said they were easy to get in touch with and had an available, knowledgeable technician.  (13548296)<BR/>Mark stated the technician is always professional and informative.  (13849002)<BR/>Mr. Haryett stated they are very reliable, and the field technicians are very knowledgeable.  (15096362)<BR/>Matt said the technicians are very professional and very knowledgeable.  (14126704)<BR/>","",
