id,size,actions,impact,feasibility,attractiveness,,,positive,negative
00,3,Technician Knowledge and Expertise,0.342465753,5,34.24657534,,,12886219 == He stated they have good knowledge and finish the work in a timely manner.  He stated when he gets it back it is done right. <BR/>13688754 == Verle stated he appreciated that the technician was pretty knowledgeable. <BR/>13689051 == Randy stated that the knowledgeable technician that resolved the problems the first time is the main reason for this rating. <BR/>12686798 == He said the service is good and the technician was very knowledgeable. <BR/>13688801 == Kelley stated he would recommend because of the good communication and the technician is very knowledgeable and professional. <BR/>15100008 == Jim said that they were able to provide a correct diagnosis. <BR/>14973124 == Lowell stated XXX Company communicates well with their service reports and their technicians are professional. <BR/>13979093 == She stated that their technicians are very knowledgeable and do a good job. <BR/>,
01,4,Technician Knowledge and Expertise,0.342465753,5,34.24657534,,,12886219 == He stated they have good knowledge and finish the work in a timely manner.  He stated when he gets it back it is done right. <BR/>13688754 == Verle stated he appreciated that the technician was pretty knowledgeable. <BR/>13689051 == Randy stated that the knowledgeable technician that resolved the problems the first time is the main reason for this rating. <BR/>12686798 == He said the service is good and the technician was very knowledgeable. <BR/>13688801 == Kelley stated he would recommend because of the good communication and the technician is very knowledgeable and professional. <BR/>15100008 == Jim said that they were able to provide a correct diagnosis. <BR/>14973124 == Lowell stated XXX Company communicates well with their service reports and their technicians are professional. <BR/>13979093 == She stated that their technicians are very knowledgeable and do a good job. <BR/>,
07,6,Technician Knowledge and Expertise,0.342465753,5,34.24657534,,,12886219 == He stated they have good knowledge and finish the work in a timely manner.  He stated when he gets it back it is done right. <BR/>13688754 == Verle stated he appreciated that the technician was pretty knowledgeable. <BR/>13689051 == Randy stated that the knowledgeable technician that resolved the problems the first time is the main reason for this rating. <BR/>12686798 == He said the service is good and the technician was very knowledgeable. <BR/>13688801 == Kelley stated he would recommend because of the good communication and the technician is very knowledgeable and professional. <BR/>15100008 == Jim said that they were able to provide a correct diagnosis. <BR/>14973124 == Lowell stated XXX Company communicates well with their service reports and their technicians are professional. <BR/>13979093 == She stated that their technicians are very knowledgeable and do a good job. <BR/>,
09,7,Technician Knowledge and Expertise,5.802891933,5,580.2891933,,,12886219 == He stated they have good knowledge and finish the work in a timely manner.  He stated when he gets it back it is done right. <BR/>13688754 == Verle stated he appreciated that the technician was pretty knowledgeable. <BR/>13689051 == Randy stated that the knowledgeable technician that resolved the problems the first time is the main reason for this rating. <BR/>12686798 == He said the service is good and the technician was very knowledgeable. <BR/>13688801 == Kelley stated he would recommend because of the good communication and the technician is very knowledgeable and professional. <BR/>15100008 == Jim said that they were able to provide a correct diagnosis. <BR/>14973124 == Lowell stated XXX Company communicates well with their service reports and their technicians are professional. <BR/>13979093 == She stated that their technicians are very knowledgeable and do a good job. <BR/>,
10,7,Technician Knowledge and Expertise,5.615983324,5,561.5983324,,,12886219 == He stated they have good knowledge and finish the work in a timely manner.  He stated when he gets it back it is done right. <BR/>13688754 == Verle stated he appreciated that the technician was pretty knowledgeable. <BR/>13689051 == Randy stated that the knowledgeable technician that resolved the problems the first time is the main reason for this rating. <BR/>12686798 == He said the service is good and the technician was very knowledgeable. <BR/>13688801 == Kelley stated he would recommend because of the good communication and the technician is very knowledgeable and professional. <BR/>15100008 == Jim said that they were able to provide a correct diagnosis. <BR/>14973124 == Lowell stated XXX Company communicates well with their service reports and their technicians are professional. <BR/>13979093 == She stated that their technicians are very knowledgeable and do a good job. <BR/>,
11,7,Technician Knowledge and Expertise,4.853866632,5,485.3866632,,,12886219 == He stated they have good knowledge and finish the work in a timely manner.  He stated when he gets it back it is done right. <BR/>13688754 == Verle stated he appreciated that the technician was pretty knowledgeable. <BR/>13689051 == Randy stated that the knowledgeable technician that resolved the problems the first time is the main reason for this rating. <BR/>12686798 == He said the service is good and the technician was very knowledgeable. <BR/>13688801 == Kelley stated he would recommend because of the good communication and the technician is very knowledgeable and professional. <BR/>15100008 == Jim said that they were able to provide a correct diagnosis. <BR/>14973124 == Lowell stated XXX Company communicates well with their service reports and their technicians are professional. <BR/>13979093 == She stated that their technicians are very knowledgeable and do a good job. <BR/>,
12,8,Technician Knowledge and Expertise,7.980509281,5,798.0509281,,,12886219 == He stated they have good knowledge and finish the work in a timely manner.  He stated when he gets it back it is done right. <BR/>13688754 == Verle stated he appreciated that the technician was pretty knowledgeable. <BR/>13689051 == Randy stated that the knowledgeable technician that resolved the problems the first time is the main reason for this rating. <BR/>12686798 == He said the service is good and the technician was very knowledgeable. <BR/>13688801 == Kelley stated he would recommend because of the good communication and the technician is very knowledgeable and professional. <BR/>15100008 == Jim said that they were able to provide a correct diagnosis. <BR/>14973124 == Lowell stated XXX Company communicates well with their service reports and their technicians are professional. <BR/>13979093 == She stated that their technicians are very knowledgeable and do a good job. <BR/>,
07,6,Staff's Knowledge,0.342465753,5,34.24657534,,,"13186242 == Rob stated that he is pleased with the timeliness of the repair, the knowledgeable staff and the reasonable prices. <BR/>13471659 == Don stated XXX Company employees are professional, courteous and polite. <BR/>",
08,7,Staff's Knowledge,6.411448141,5,641.1448141,,,"13186242 == Rob stated that he is pleased with the timeliness of the repair, the knowledgeable staff and the reasonable prices. <BR/>13471659 == Don stated XXX Company employees are professional, courteous and polite. <BR/>",
10,7,Staff's Knowledge,5.615983324,5,561.5983324,,,"13186242 == Rob stated that he is pleased with the timeliness of the repair, the knowledgeable staff and the reasonable prices. <BR/>13471659 == Don stated XXX Company employees are professional, courteous and polite. <BR/>",
