id,size,actions,impact,feasibility,attractiveness,,positive,negative
01,3,Technician Knowledge and Expertise,1.8836433,5,188.36433,,"14006953 == Jason stated they have knowledgeable mechanics. <BR/>12528198 == David stated that the good response time and knowledgeable technician are the main reasons. <BR/>12770588 == Jim said the Tractor and Equipment technician was very professional and communicated with him before and after the service. <BR/>14785340 == Tim stated that they have really skilled technicians and they are very thorough about their work, invoices and communication. <BR/>12716045 == Mark said Tractor & Equipment has knowledgeable mechanics and first hand equipment on CAT equipment. <BR/>13324860 == He stated they are very knowledgeable with their computer skills and also with helping him. <BR/>",
03,3,Technician Knowledge and Expertise,0.858369099,5,85.83690987,,"14006953 == Jason stated they have knowledgeable mechanics. <BR/>12528198 == David stated that the good response time and knowledgeable technician are the main reasons. <BR/>12770588 == Jim said the Tractor and Equipment technician was very professional and communicated with him before and after the service. <BR/>14785340 == Tim stated that they have really skilled technicians and they are very thorough about their work, invoices and communication. <BR/>12716045 == Mark said Tractor & Equipment has knowledgeable mechanics and first hand equipment on CAT equipment. <BR/>13324860 == He stated they are very knowledgeable with their computer skills and also with helping him. <BR/>",
04,4,Technician Knowledge and Expertise,3.33412812,5,333.412812,,"14006953 == Jason stated they have knowledgeable mechanics. <BR/>12528198 == David stated that the good response time and knowledgeable technician are the main reasons. <BR/>12770588 == Jim said the Tractor and Equipment technician was very professional and communicated with him before and after the service. <BR/>14785340 == Tim stated that they have really skilled technicians and they are very thorough about their work, invoices and communication. <BR/>12716045 == Mark said Tractor & Equipment has knowledgeable mechanics and first hand equipment on CAT equipment. <BR/>13324860 == He stated they are very knowledgeable with their computer skills and also with helping him. <BR/>",
05,4,Technician Knowledge and Expertise,1.12732475,5,112.732475,,"14006953 == Jason stated they have knowledgeable mechanics. <BR/>12528198 == David stated that the good response time and knowledgeable technician are the main reasons. <BR/>12770588 == Jim said the Tractor and Equipment technician was very professional and communicated with him before and after the service. <BR/>14785340 == Tim stated that they have really skilled technicians and they are very thorough about their work, invoices and communication. <BR/>12716045 == Mark said Tractor & Equipment has knowledgeable mechanics and first hand equipment on CAT equipment. <BR/>13324860 == He stated they are very knowledgeable with their computer skills and also with helping him. <BR/>",
06,5,Technician Knowledge and Expertise,1.12732475,5,112.732475,,"14006953 == Jason stated they have knowledgeable mechanics. <BR/>12528198 == David stated that the good response time and knowledgeable technician are the main reasons. <BR/>12770588 == Jim said the Tractor and Equipment technician was very professional and communicated with him before and after the service. <BR/>14785340 == Tim stated that they have really skilled technicians and they are very thorough about their work, invoices and communication. <BR/>12716045 == Mark said Tractor & Equipment has knowledgeable mechanics and first hand equipment on CAT equipment. <BR/>13324860 == He stated they are very knowledgeable with their computer skills and also with helping him. <BR/>",
07,6,Technician Knowledge and Expertise,3.926531716,5,392.6531716,,"14006953 == Jason stated they have knowledgeable mechanics. <BR/>12528198 == David stated that the good response time and knowledgeable technician are the main reasons. <BR/>12770588 == Jim said the Tractor and Equipment technician was very professional and communicated with him before and after the service. <BR/>14785340 == Tim stated that they have really skilled technicians and they are very thorough about their work, invoices and communication. <BR/>12716045 == Mark said Tractor & Equipment has knowledgeable mechanics and first hand equipment on CAT equipment. <BR/>13324860 == He stated they are very knowledgeable with their computer skills and also with helping him. <BR/>",
08,6,Technician Knowledge and Expertise,3.870189859,5,387.0189859,,"14006953 == Jason stated they have knowledgeable mechanics. <BR/>12528198 == David stated that the good response time and knowledgeable technician are the main reasons. <BR/>12770588 == Jim said the Tractor and Equipment technician was very professional and communicated with him before and after the service. <BR/>14785340 == Tim stated that they have really skilled technicians and they are very thorough about their work, invoices and communication. <BR/>12716045 == Mark said Tractor & Equipment has knowledgeable mechanics and first hand equipment on CAT equipment. <BR/>13324860 == He stated they are very knowledgeable with their computer skills and also with helping him. <BR/>",
09,7,Technician Knowledge and Expertise,5.651853605,5,565.1853605,,"14006953 == Jason stated they have knowledgeable mechanics. <BR/>12528198 == David stated that the good response time and knowledgeable technician are the main reasons. <BR/>12770588 == Jim said the Tractor and Equipment technician was very professional and communicated with him before and after the service. <BR/>14785340 == Tim stated that they have really skilled technicians and they are very thorough about their work, invoices and communication. <BR/>12716045 == Mark said Tractor & Equipment has knowledgeable mechanics and first hand equipment on CAT equipment. <BR/>13324860 == He stated they are very knowledgeable with their computer skills and also with helping him. <BR/>",
00,2,Service Done Correctly,0.572246066,5,57.22460658,,"13347190 == Brad said Tractor and Equipment was able to complete the repair correctly. <BR/>14417755 == Marie said the service went well, they came and fixed and made the repair very promptly. <BR/>12336496 == Doug shared that they provide a quick response and get the repair is done correctly. <BR/>12336819 == He stated they would have needed to repair the engine correctly the first time. <BR/>15444530 == Andrew said that fixed the equipment and in a timely manner. <BR/>12897315 == Heber said NC Machinery got the work done in a timely manner and done correctly. <BR/>12897773 == Randy stated N C Machinery is confident that the job is done correctly and Ryan Drager is pleasant to work with. <BR/>13324724 == Ken stated that they are timely, they answer their phones, and they do the work properly. <BR/>12335923 == Barry said Tractor  & Equipment did what he asked them to do and found other stuff he did not know about and fixed it. <BR/>13953328 == He stated N C Machinery always do well, anytime they complete work for him - it is good work. <BR/>13482070 == He said he feels the job was done well. <BR/>13481137 == Gary said Tractor & Equipment time of repair was good, and they had a good response time and the repairs were done correctly. <BR/>12527622 == Bill stated they came right out and fixed it for him. <BR/>13325519 == Jeff stated NC Power Systems did what he asked them to do correctly. <BR/>13856186 == Mr. May said he liked how quickly a technician could come out and how quickly the repair was completed by Tractor and Equipment. <BR/>14417793 == He stated they stayed until the equipment was fixed. <BR/>14417814 == He stated the service was completed the right way. <BR/>13207825 == Mike said Tractor and Equipment had the ability to complete the repair correctly. <BR/>14418075 == He stated they got it fixed in a timely manner. <BR/>13583285 == John said Tractor & Equipment's technician Shawn, did an awesome job and got the equipment fixed. <BR/>",14785483 == Cliff said that he had a real problem and they were persistent; they did not give up until the equipment was fixed. <BR/>
01,3,Service Done Correctly,1.8836433,5,188.36433,,"13347190 == Brad said Tractor and Equipment was able to complete the repair correctly. <BR/>14417755 == Marie said the service went well, they came and fixed and made the repair very promptly. <BR/>12336496 == Doug shared that they provide a quick response and get the repair is done correctly. <BR/>12336819 == He stated they would have needed to repair the engine correctly the first time. <BR/>15444530 == Andrew said that fixed the equipment and in a timely manner. <BR/>12897315 == Heber said NC Machinery got the work done in a timely manner and done correctly. <BR/>12897773 == Randy stated N C Machinery is confident that the job is done correctly and Ryan Drager is pleasant to work with. <BR/>13324724 == Ken stated that they are timely, they answer their phones, and they do the work properly. <BR/>12335923 == Barry said Tractor  & Equipment did what he asked them to do and found other stuff he did not know about and fixed it. <BR/>13953328 == He stated N C Machinery always do well, anytime they complete work for him - it is good work. <BR/>13482070 == He said he feels the job was done well. <BR/>13481137 == Gary said Tractor & Equipment time of repair was good, and they had a good response time and the repairs were done correctly. <BR/>12527622 == Bill stated they came right out and fixed it for him. <BR/>13325519 == Jeff stated NC Power Systems did what he asked them to do correctly. <BR/>13856186 == Mr. May said he liked how quickly a technician could come out and how quickly the repair was completed by Tractor and Equipment. <BR/>14417793 == He stated they stayed until the equipment was fixed. <BR/>14417814 == He stated the service was completed the right way. <BR/>13207825 == Mike said Tractor and Equipment had the ability to complete the repair correctly. <BR/>14418075 == He stated they got it fixed in a timely manner. <BR/>13583285 == John said Tractor & Equipment's technician Shawn, did an awesome job and got the equipment fixed. <BR/>",14785483 == Cliff said that he had a real problem and they were persistent; they did not give up until the equipment was fixed. <BR/>
