id,size,actions,impact,feasibility,attractiveness
0,1,make invoice accurate and clear,1.179155572,5,113.198935
1,2,ensure service done correctly,6.203659817,5,570.7367032
1,2,show care and respect from technician,6.203659817,5,570.7367032
2,2,ensure service done correctly,1.673640167,5,153.9748954
2,2,make invoice accurate and clear,1.673640167,5,153.9748954
3,2,ensure service done correctly,1.106724026,5,101.8186104
3,2,improve technician's knowledge,1.106724026,5,101.8186104
4,3,ensure service done correctly,7.671928323,5,675.1296924
4,3,make invoice accurate and clear,7.671928323,5,675.1296924
4,3,show care and respect from technician,7.671928323,5,675.1296924
5,3,ensure service done correctly,7.156129387,5,629.7393861
5,3,improve technician's knowledge,7.156129387,5,629.7393861
5,3,show care and respect from technician,7.156129387,5,629.7393861
6,3,ensure service done correctly,6.751718041,5,594.1511876
6,3,staff show care and respect to customers,6.751718041,5,594.1511876
6,3,show care and respect from technician,6.751718041,5,594.1511876
7,3,ensure service done correctly,6.287050016,5,553.2604014
7,3,show care and respect from technician,6.287050016,5,553.2604014
7,3,improve staff's knowledge,6.287050016,5,553.2604014
8,3,ensure service done correctly,3.98081068,5,350.3113399
8,3,improve proactive communication,3.98081068,5,350.3113399
8,3,improve technician's knowledge,3.98081068,5,350.3113399
9,3,ensure service done correctly,1.673640167,5,147.2803347
9,3,improve proactive communication,1.673640167,5,147.2803347
9,3,improve staff's knowledge,1.673640167,5,147.2803347
10,3,staff show care and respect to customers,0.836820084,5,73.64016736
10,3,make invoice accurate and clear,0.836820084,5,73.64016736
10,3,show care and respect from technician,0.836820084,5,73.64016736
11,4,ensure service done correctly,8.638396589,5,725.6253135
11,4,staff show care and respect to customers,8.638396589,5,725.6253135
11,4,make invoice accurate and clear,8.638396589,5,725.6253135
11,4,show care and respect from technician,8.638396589,5,725.6253135
12,4,ensure service done correctly,8.577942352,5,720.5471575
12,4,improve technician's knowledge,8.577942352,5,720.5471575
12,4,make invoice accurate and clear,8.577942352,5,720.5471575
12,4,show care and respect from technician,8.577942352,5,720.5471575
13,4,ensure service done correctly,8.558563424,5,718.9193276
13,4,improve proactive communication,8.558563424,5,718.9193276
13,4,improve technician's knowledge,8.558563424,5,718.9193276
13,4,show care and respect from technician,8.558563424,5,718.9193276
14,4,ensure service done correctly,7.977812226,5,670.136227
14,4,staff show care and respect to customers,7.977812226,5,670.136227
14,4,improve technician's knowledge,7.977812226,5,670.136227
14,4,show care and respect from technician,7.977812226,5,670.136227
15,4,ensure service done correctly,7.712404672,5,647.8419924
15,4,improve proactive communication,7.712404672,5,647.8419924
15,4,show care and respect from technician,7.712404672,5,647.8419924
15,4,improve staff's knowledge,7.712404672,5,647.8419924
16,4,ensure service done correctly,7.657929628,5,643.2660887
16,4,improve technician's knowledge,7.657929628,5,643.2660887
16,4,show care and respect from technicia,7.657929628,5,643.2660887
16,4,improve staff's knowledge,7.657929628,5,643.2660887
17,4,ensure service done correctly,7.253518281,5,609.2955356
17,4,improve proactive communication,7.253518281,5,609.2955356
17,4,staff show care and respect to customers,7.253518281,5,609.2955356
17,4,show care and respect from technician,7.253518281,5,609.2955356
18,4,ensure service done correctly,5.319722814,5,446.8567164
18,4,improve proactive communication,5.319722814,5,446.8567164
18,4,improve technician's knowledge,5.319722814,5,446.8567164
