id,size,actions,impact,feasibility,attractiveness,positive,negative
00,2,Technician Knowledge and Expertise,0.367309458,5,36.73094582,"14045233 == He said the technicians are very knowledgeable. <BR/>14043608 == He said the work is efficient, the technician is knowledgeable and the customer service is good. <BR/>14045108 == Efrain said XXX Company Machinery's technicians are professional and knowledgeable. <BR/>14314231 == He said the technician was knowledgeable, careful, courteous, and quick. <BR/>14672687 == Jesse stated they are knowledgeable, friendly and give quality service. <BR/>12899948 == Brain said their technician are knowledgeable and they go through things with you. <BR/>13846696 == Brent shared that the technician was knowledgeable, showed up on time, worked faithfully and professionally. <BR/>12324372 == He said the technician is extremely knowledgeable. <BR/>12508921 == Andrew stated that XXX Company Power Systems has good service and knowledgeable technicians. <BR/>14946882 == Bob stated the service technician was knowledgeable and answered his questions well. <BR/>13846240 == Marty said that they service technicians are very knowledgeable and customer friendly. <BR/>",
03,3,Technician Knowledge and Expertise,0.367309458,5,36.73094582,"14045233 == He said the technicians are very knowledgeable. <BR/>14043608 == He said the work is efficient, the technician is knowledgeable and the customer service is good. <BR/>14045108 == Efrain said XXX Company Machinery's technicians are professional and knowledgeable. <BR/>14314231 == He said the technician was knowledgeable, careful, courteous, and quick. <BR/>14672687 == Jesse stated they are knowledgeable, friendly and give quality service. <BR/>12899948 == Brain said their technician are knowledgeable and they go through things with you. <BR/>13846696 == Brent shared that the technician was knowledgeable, showed up on time, worked faithfully and professionally. <BR/>12324372 == He said the technician is extremely knowledgeable. <BR/>12508921 == Andrew stated that XXX Company Power Systems has good service and knowledgeable technicians. <BR/>14946882 == Bob stated the service technician was knowledgeable and answered his questions well. <BR/>13846240 == Marty said that they service technicians are very knowledgeable and customer friendly. <BR/>",
04,3,Technician Knowledge and Expertise,0.367309458,5,36.73094582,"14045233 == He said the technicians are very knowledgeable. <BR/>14043608 == He said the work is efficient, the technician is knowledgeable and the customer service is good. <BR/>14045108 == Efrain said XXX Company Machinery's technicians are professional and knowledgeable. <BR/>14314231 == He said the technician was knowledgeable, careful, courteous, and quick. <BR/>14672687 == Jesse stated they are knowledgeable, friendly and give quality service. <BR/>12899948 == Brain said their technician are knowledgeable and they go through things with you. <BR/>13846696 == Brent shared that the technician was knowledgeable, showed up on time, worked faithfully and professionally. <BR/>12324372 == He said the technician is extremely knowledgeable. <BR/>12508921 == Andrew stated that XXX Company Power Systems has good service and knowledgeable technicians. <BR/>14946882 == Bob stated the service technician was knowledgeable and answered his questions well. <BR/>13846240 == Marty said that they service technicians are very knowledgeable and customer friendly. <BR/>",
05,4,Technician Knowledge and Expertise,1.336644684,5,133.6644684,"14045233 == He said the technicians are very knowledgeable. <BR/>14043608 == He said the work is efficient, the technician is knowledgeable and the customer service is good. <BR/>14045108 == Efrain said XXX Company Machinery's technicians are professional and knowledgeable. <BR/>14314231 == He said the technician was knowledgeable, careful, courteous, and quick. <BR/>14672687 == Jesse stated they are knowledgeable, friendly and give quality service. <BR/>12899948 == Brain said their technician are knowledgeable and they go through things with you. <BR/>13846696 == Brent shared that the technician was knowledgeable, showed up on time, worked faithfully and professionally. <BR/>12324372 == He said the technician is extremely knowledgeable. <BR/>12508921 == Andrew stated that XXX Company Power Systems has good service and knowledgeable technicians. <BR/>14946882 == Bob stated the service technician was knowledgeable and answered his questions well. <BR/>13846240 == Marty said that they service technicians are very knowledgeable and customer friendly. <BR/>",
07,5,Technician Knowledge and Expertise,4.539895825,5,453.9895825,"14045233 == He said the technicians are very knowledgeable. <BR/>14043608 == He said the work is efficient, the technician is knowledgeable and the customer service is good. <BR/>14045108 == Efrain said XXX Company Machinery's technicians are professional and knowledgeable. <BR/>14314231 == He said the technician was knowledgeable, careful, courteous, and quick. <BR/>14672687 == Jesse stated they are knowledgeable, friendly and give quality service. <BR/>12899948 == Brain said their technician are knowledgeable and they go through things with you. <BR/>13846696 == Brent shared that the technician was knowledgeable, showed up on time, worked faithfully and professionally. <BR/>12324372 == He said the technician is extremely knowledgeable. <BR/>12508921 == Andrew stated that XXX Company Power Systems has good service and knowledgeable technicians. <BR/>14946882 == Bob stated the service technician was knowledgeable and answered his questions well. <BR/>13846240 == Marty said that they service technicians are very knowledgeable and customer friendly. <BR/>",
08,5,Technician Knowledge and Expertise,3.514989423,5,351.4989423,"14045233 == He said the technicians are very knowledgeable. <BR/>14043608 == He said the work is efficient, the technician is knowledgeable and the customer service is good. <BR/>14045108 == Efrain said XXX Company Machinery's technicians are professional and knowledgeable. <BR/>14314231 == He said the technician was knowledgeable, careful, courteous, and quick. <BR/>14672687 == Jesse stated they are knowledgeable, friendly and give quality service. <BR/>12899948 == Brain said their technician are knowledgeable and they go through things with you. <BR/>13846696 == Brent shared that the technician was knowledgeable, showed up on time, worked faithfully and professionally. <BR/>12324372 == He said the technician is extremely knowledgeable. <BR/>12508921 == Andrew stated that XXX Company Power Systems has good service and knowledgeable technicians. <BR/>14946882 == Bob stated the service technician was knowledgeable and answered his questions well. <BR/>13846240 == Marty said that they service technicians are very knowledgeable and customer friendly. <BR/>",
10,6,Technician Knowledge and Expertise,5.72305148,5,572.305148,"14045233 == He said the technicians are very knowledgeable. <BR/>14043608 == He said the work is efficient, the technician is knowledgeable and the customer service is good. <BR/>14045108 == Efrain said XXX Company Machinery's technicians are professional and knowledgeable. <BR/>14314231 == He said the technician was knowledgeable, careful, courteous, and quick. <BR/>14672687 == Jesse stated they are knowledgeable, friendly and give quality service. <BR/>12899948 == Brain said their technician are knowledgeable and they go through things with you. <BR/>13846696 == Brent shared that the technician was knowledgeable, showed up on time, worked faithfully and professionally. <BR/>12324372 == He said the technician is extremely knowledgeable. <BR/>12508921 == Andrew stated that XXX Company Power Systems has good service and knowledgeable technicians. <BR/>14946882 == Bob stated the service technician was knowledgeable and answered his questions well. <BR/>13846240 == Marty said that they service technicians are very knowledgeable and customer friendly. <BR/>",
11,7,Technician Knowledge and Expertise,5.762387559,5,576.2387559,"14045233 == He said the technicians are very knowledgeable. <BR/>14043608 == He said the work is efficient, the technician is knowledgeable and the customer service is good. <BR/>14045108 == Efrain said XXX Company Machinery's technicians are professional and knowledgeable. <BR/>14314231 == He said the technician was knowledgeable, careful, courteous, and quick. <BR/>14672687 == Jesse stated they are knowledgeable, friendly and give quality service. <BR/>12899948 == Brain said their technician are knowledgeable and they go through things with you. <BR/>13846696 == Brent shared that the technician was knowledgeable, showed up on time, worked faithfully and professionally. <BR/>12324372 == He said the technician is extremely knowledgeable. <BR/>12508921 == Andrew stated that XXX Company Power Systems has good service and knowledgeable technicians. <BR/>14946882 == Bob stated the service technician was knowledgeable and answered his questions well. <BR/>13846240 == Marty said that they service technicians are very knowledgeable and customer friendly. <BR/>",
12,8,Technician Knowledge and Expertise,5.86745393,5,586.745393,"14045233 == He said the technicians are very knowledgeable. <BR/>14043608 == He said the work is efficient, the technician is knowledgeable and the customer service is good. <BR/>14045108 == Efrain said XXX Company Machinery's technicians are professional and knowledgeable. <BR/>14314231 == He said the technician was knowledgeable, careful, courteous, and quick. <BR/>14672687 == Jesse stated they are knowledgeable, friendly and give quality service. <BR/>12899948 == Brain said their technician are knowledgeable and they go through things with you. <BR/>13846696 == Brent shared that the technician was knowledgeable, showed up on time, worked faithfully and professionally. <BR/>12324372 == He said the technician is extremely knowledgeable. <BR/>12508921 == Andrew stated that XXX Company Power Systems has good service and knowledgeable technicians. <BR/>14946882 == Bob stated the service technician was knowledgeable and answered his questions well. <BR/>13846240 == Marty said that they service technicians are very knowledgeable and customer friendly. <BR/>",
12,8,Staff's Knowledge,5.86745393,5,586.745393,14315236 == He said the work is done efficiently and the staff is knowledgeable. <BR/>,
