origin,destination,count,nr
Client1,Client1,1,1
Client2,Client2,1,1
Client3,Client3,1,1
Client4,Client4,1,1
Client5,Client5,1,1
Client6,Client6,1,1
Client7,Client7,1,1
Client7,Client25,1,1
Client7,Client8,1,2
Client8,Client8,1,1
Client9,Client9,1,1
Client9,Client10,1,1
Client9,Client3,1,2
Client9,Client19,1,3
Client9,Client22,1,4
Client9,Client23,1,5
Client9,Client5,1,6
Client9,Client38,1,7
Client9,Client37,1,8
Client9,Client14,1,9
Client9,Client16,1,10
Client9,Client13,1,11
Client9,Client28,1,12
Client9,Client7,1,13
Client9,Client25,1,14
Client9,Client8,1,15
Client9,Client36,1,16
Client9,Client30,1,17
Client9,Client34,1,18
Client9,Client6,1,19
Client9,Client11,1,20
Client10,Client10,1,1
Client11,Client11,1,1
Client11,Client15,1,1
Client12,Client12,1,1
Client12,Client24,1,1
Client12,Client1,1,2
Client13,Client13,1,1
Client13,Client28,1,1
Client14,Client14,1,1
Client14,Client16,1,1
Client14,Client13,1,2
Client14,Client28,1,3
Client15,Client15,1,1
Client16,Client16,1,1
Client16,Client13,1,1
Client16,Client28,1,2
Client17,Client17,1,1
Client17,Client6,1,1
Client18,Client18,1,1
Client18,Client1,1,1
Client18,Client24,1,2
Client19,Client19,1,1
Client19,Client3,1,1
Client20,Client20,1,1
Client20,Client32,1,1
Client20,Client11,1,2
Client20,Client15,1,3
Client20,Client7,1,4
Client20,Client25,1,5
Client20,Client8,1,6
Client20,Client30,1,7
Client20,Client6,1,8
Client20,Client13,1,9
Client20,Client28,1,10
Client20,Client35,1,11
Client20,Client1,1,12
Client20,Client24,1,13
Client20,Client4,1,14
Client20,Client2,1,15
Client20,Client31,1,16
Client20,Client5,1,17
Client20,Client38,1,18
Client20,Client10,1,19
Client21,Client21,1,1
Client22,Client22,1,1
Client22,Client5,1,1
Client22,Client38,1,2
Client23,Client23,1,1
Client23,Client5,1,1
Client23,Client38,1,2
Client24,Client24,1,1
Client25,Client25,1,1
Client26,Client26,1,1
Client26,Client31,1,1
Client26,Client4,1,2
Client26,Client1,1,3
Client26,Client24,1,4
Client26,Client21,1,5
Client27,Client27,1,1
Client27,Client21,1,1
Client27,Client1,1,2
Client27,Client24,1,3
Client27,Client4,1,4
Client28,Client28,1,1
Client29,Client29,1,1
Client29,Client21,1,1
Client30,Client30,1,1
Client31,Client31,1,1
Client32,Client32,1,1
Client32,Client11,1,1
Client33,Client33,1,1
Client33,Client35,1,1
Client33,Client1,1,2
Client33,Client24,1,3
Client33,Client4,1,4
Client33,Client31,1,5
Client33,Client13,1,6
Client33,Client28,1,7
Client33,Client8,1,8
Client34,Client34,1,1
Client34,Client30,1,1
Client34,Client6,1,2
Client34,Client7,1,3
Client34,Client25,1,4
Client34,Client8,1,5
Client35,Client35,1,1
Client36,Client36,1,1
Client36,Client8,1,1
Client36,Client25,1,2
Client36,Client6,1,3
Client37,Client37,1,1
Client37,Client28,1,1
Client37,Client7,1,2
Client37,Client25,1,3
Client37,Client8,1,4
Client37,Client35,1,5
Client37,Client1,1,6
Client37,Client24,1,7
Client37,Client4,1,8
Client37,Client5,1,9
Client38,Client38,1,1
