origin,destination,count,nr
Client1,Client1,1,1
Client2,Client2,1,1
Client2,Client18,1,1
Client2,Client38,1,2
Client3,Client3,1,1
Client3,Client6,1,1
Client3,Client4,1,2
Client3,Client28,1,3
Client3,Client23,1,4
Client3,Client5,1,5
Client4,Client4,1,1
Client5,Client5,1,1
Client6,Client6,1,1
Client7,Client7,1,1
Client8,Client8,1,1
Client8,Client5,1,1
Client8,Client28,1,2
Client8,Client23,1,3
Client8,Client4,1,4
Client9,Client9,1,1
Client9,Client29,1,1
Client9,Client19,1,2
Client9,Client7,1,3
Client9,Client21,1,4
Client9,Client2,1,5
Client9,Client18,1,6
Client9,Client38,1,7
Client9,Client15,1,8
Client11,Client11,1,1
Client12,Client12,1,1
Client13,Client13,1,1
Client13,Client4,1,1
Client13,Client28,1,2
Client14,Client14,1,1
Client15,Client15,1,1
Client16,Client16,1,1
Client17,Client17,1,1
Client18,Client18,1,1
Client19,Client19,1,1
Client19,Client7,1,1
Client19,Client18,1,2
Client19,Client38,1,3
Client20,Client20,1,1
Client20,Client17,1,1
Client20,Client36,1,2
Client20,Client6,1,3
Client20,Client22,1,4
Client20,Client16,1,5
Client20,Client14,1,6
Client20,Client37,1,7
Client20,Client25,1,8
Client21,Client21,1,1
Client21,Client18,1,1
Client21,Client38,1,2
Client21,Client7,1,3
Client22,Client22,1,1
Client23,Client23,1,1
Client24,Client24,1,1
Client25,Client25,1,1
Client25,Client24,1,1
Client25,Client28,1,2
Client26,Client26,1,1
Client26,Client23,1,1
Client26,Client28,1,2
Client27,Client27,1,1
Client27,Client2,1,1
Client27,Client18,1,2
Client27,Client38,1,3
Client28,Client28,1,1
Client29,Client29,1,1
Client30,Client30,1,1
Client32,Client32,1,1
Client33,Client33,1,1
Client33,Client5,1,1
Client34,Client34,1,1
Client35,Client35,1,1
Client35,Client4,1,1
Client36,Client36,1,1
Client36,Client6,1,1
Client36,Client22,1,2
Client36,Client16,1,3
Client36,Client37,1,4
Client36,Client25,1,5
Client36,Client24,1,6
Client36,Client4,1,7
Client36,Client35,1,8
Client36,Client28,1,9
Client36,Client23,1,10
Client37,Client37,1,1
Client38,Client38,1,1
