fkeyWorkOrderID,strComment
13052511,He stated that their prices are too high.
12638573,NULL
13097149,NULL
12387962,Rudy stated that parts can be tracked better.
12439440,NULL
12838567,He stated their documentation with parts purchases needs to be better.
12389312,He said he feels pricing is high and that he can find after market parts for much less.
12260609,"Don gave specific rating, due to cost.  He added that his equipment is very expensive to purchase parts for."
13182512,"Patti stated that the service is not great, especially regarding communication and follow up regarding the parts."
12784076,NULL
12583633,"He said very good service, however prices need to be more competitive."
12583638,Joseph stated that its not affordable for hhim.
12277476,NULL
12611629,Roger stated because of the issues at will call.  They are the slowest will call in Anchorage.
13154279,NULL
12404972,Al didn't have any additional comments.
13311880,Matt said the pricing is too high.
13310825,NULL
12936621,James stated that this rating is based on the lack of parts availability and accuracy with the parts orders.
12873218,NULL
12779646,He stated this branch needs more education with parts people.  He stated that this is based off of several instances.
13065502,NULL
13113722,NULL
12770217,Dave stated there was nothing that NC Machinery could have done differently to rate this higher.
13043294,He stated it takes too long to get parts.
13267002,Todd said that the parts that he needed were not available.   Todd said that he needed Princeton Teledyne parts.
13267074,NULL
12444264,NULL
13178634,NULL
13543830,NULL
12753304,NULL
13181032,Marty said that he paid with a credit card and they also received a bill for the parts.
12675505,He stated that he is still waiting on parts been and it has been 2- 3 weeks.  He is not happy.
13226492,NULL
12579871,He stated they need to get someone in the parts department that knows what they are talking about in regards to the parts.
13458578,"Steven stated "" because no one calls me back and I can't get any answers from anyone. """
12897752,Jim said he would not recommend N C Machinery to others for parts because they sent him the wrong parts.
12527869,NULL
13199500,NULL
13154386,NULL
12445916,He stated lower prices.
13395191,"After probing, Daniel did not state a reason for this rating."
13035540,NULL
12566633,Javier didn't have any additional comments.
13266960,He stated they do not have enough inventory.  He stated he has been there twice and they were out of oil.
12477141,He is very dissatisfied with communication and not getting response back from his emails.
13023513,NULL
12527773,Merrill stated he is starting to have some issues with miscommunication.
12898507,NULL
12247036,John said you have to pre pay for the parts now.
12829709,NULL
12658128,He stated he would like a better return policy and quicker turnaround.
13171181,"Chris said ""They charge an extra 5% to pick up a part from the Caterpillar warehouse""."
12934974,"Trevor stated ""some of the stores have the parts in and some don't. """
13524049,NULL
13274738,Mr. Dubois stated that he rated this question because of their non-competitive prices.
13437354,Rick stated he has been dealing with Toromont Cat for 35 years. He said there has been good experiences and bad experiences.
13436271,He said he would like to see more available parts personnel.
12199780,NULL
12233292,NULL
13179695,NULL
13105150,NULL
12825765,NULL
