fkeyWorkOrderID,strComment
6278365,Josh stated that one of his biggest complaints about Altorfer Cat is the pricing structure they use for service charges. He stated that the cost of labor is way too high.  Josh also stated that he is not very impressed with the way the technicians approach a problem.  He stated that the technician’s first approach is to troubleshoot and that can get quite costly due to the time incurred then the next approach is process of elimination which is also very costly.  Josh stated that when he calls a Caterpillar trained technician out to work on Caterpillar equipment he expects them to be more knowledgeable of the equipment they are servicing.  He stated that he would not expect a John Deere technician to come out and know about his Caterpillar equipment but he certainly expects the Caterpillar technicians to be more prepared and not approach every repair as trial and error and charge such extreme repair charges.
5223319,"Ryan said every time he calls to get service work done he waits and waits on the line and then when he speaks with the service manager he is told that they'll be out to do the service within the next week and they don't show up so he has to call again. He said they have over 100 pieces of equipment in their fleet and he needs quick response-time. Ryan said the Springfield branch needs to respond to his calls, commit to a repair time and honor that commitment. Ryan asked for someone above the service manager in Springfield to call him. He said he's always had good service from the Champagne store but the service out of Springfield is very unsatisfactory."
6545402,"Chad stated that he spoke with the service manager who said that the 277 could be worked on at it's location.  The technician was to call to schedule the service however, he did not call until he was on site.  Chad said that the technician stated that he could not work on the 277 based on the location and left.  Chad said that he made multiple calls and sent e-mails to the service manager both prior to and following the technician arriving that were unanswered.  Chad said that he had not received an invoice but was charged for the technician's time and mileage.  Chad stated that since he has made multiple attempts to reach the service manager, that he would like a call back from someone in Altorfer who would be ""over"" him."
2302046,
3626796,Customer states that he is not pleased with all the different service calls to this same machine for the same issue that could not be resolved until this last service. Customer is not satisfied with the amount of charges/invoices that were billed to him for all these services. Customer states that he would like someone to contact him to discuss the invoices for the services on this machine. Customer states that he would have to think about going back or referring anyone to them unless they can try to make this right with the invoices. Customer has not spoken with anyone about this issue with the invoices to date.
3748373,
4503710,"Nolan stated this service went alright, but normally he can not get a guy out there when needed and it is a 3 to 4 day wait."
6403504,"He said more competitive prices would bring more business, a better communication on details of the service before the technician leaves would be good as well as he has to report to his boss. He also shared since there are new parts staffs members who are very courteous and admit their mistakes, someone to do random check or help the new clerks be more thorough would save on time as he’s had some orders missing parts in the drop box. He said he does not need to be contacted as he has already shared his concerns with Scott Taylor. John said he loves CAT products and said the staff really do their best to help out the customer."
1902884,
4958378,He said after the technician left they went to start the machine and it would not start. He said the job was not completed correctly and he had to find the problem himself because they could not get a technician back out in a timely manner. He said he has not had an opportunity to address the fact that he feels he should not pay for something that was not fixed. He said he would like someone to review the repair and rectify the bill if possible. Thank you.
4550412,Gary left a message two weeks ago regarding the status of the seal and completing the repair. Please contact Gary as soon as possible. Gary has not heard back from anyone.
4205157,
2874018,
4167460,
5481321,"MR.  Reuter stated the service call was for the AC. It is still not working properly. He stated the mechanic found the radiator to be dirty and stated he blew that out and checked coolant. The mechanic told him it should work better now . MR. Reuter stated it is not , and he has to operate it with the doors open to stay cool. At one time it would freeze you out it worked so well. He would like a call please."
1847289,
4265491,He said the service has not been as good as it used to be in the past few months due to the main mechanic leaving. They do not have a regular technician at this time who knows their equipment and is keeping track of what is needed and such. He is hoping it will get better in the near future.
3070243,Denny felt the charges were very high for the work that was done.  He doesn't understand how the labor can be that high when the parts cost hardly anything. He said if someone wanted to call him that would be fine to discuss and that next time he realizes he should have gotten an estimate before any work was done.  This number is the best one to reach him.  Thanks.
2801437,"He stated they told him the service would take 3 days.  However, it ended up taking 6 days to complete.  He had to call the shop to follow up, they did not call him to make him aware of the delays."
5481276,"He said he understands that this service was unique because it started in the field and had to be completed in the shop. He said as a result his point of contact changed. He said there was no follow through and he had to invest a lot of time trying to contact the right person and find out the status of the repair. He said his main points of frustration were that the machine sat for a couple of days before work was started. Secondly, he said someone was supposed to call him with pricing and the only call he got was when it was done. He said fortunately he did not feel the pricing was out of line and he felt the repair was done correctly. However, he said he would like to see much better communication regarding the status of the repair on future repairs."
5683782,
4265430,Keith is not happy with this service.  He stated that Altorfer did not do what he asked them to do.  He wanted the pins and bushings turned on his tracks.  This was not done.  The tracks returned with a broken link that was not discovered until he put the tracks back on the equipment.
2431122,Mr. Light stated the service and issues he requested be taken care of while the machine was in the shop were not all completed.  He stated the machine was in the shop for 3 months and should have only taken 2-2 1/2 months to complete.  He stated the communication from Altorfer was not good and they did not call him when issues with his equipment came up.  Mr. Light stated he had to call Altorfer to get updates and find out what was going on with the work on his machine.  He stated he is in contact with Altorfer about this issue and does not need a call at this time.
2107087,
3202815,
5778508,7/23-Eric said that repair not completed right the first time but Eric will use them again due to he has all CAT equipment and they are only provider around. Eric also did add that they have good parts availability.
3584582,Customer states that the NPS ratings are based on the pricing that was advised for the service on the machine. Customer states that it was way overpriced for the labor they wanted to charge for this service. Customer states that he felt like they were being ripped off because of the huge price they wanted of $1000 for labor on a service that his mechanic could do in 20 minutes. Customer did not request to be contacted at this time.
